date,portfolio_value
2022-07-06,299320.50997750007
2022-07-07,303784.0599775
2022-07-08,304016.3099775
2022-07-11,304260.50997750007
2022-07-12,307720.3451846428
2022-07-13,303715.69518464286
2022-07-14,294656.8039382142
2022-07-15,295602.8565382142
2022-07-18,299361.4036310714
2022-07-19,299203.50363107136
2022-07-20,308131.9237739285
2022-07-21,306975.22377392853
2022-07-22,306933.0237739285
2022-07-25,308765.1737739285
2022-07-26,304985.29626678565
2022-07-27,300577.7155257142
2022-07-28,302911.49740999995
2022-07-29,306565.44740999996
2022-08-01,309663.40449571423
2022-08-02,310681.90449571423
2022-08-03,317653.3467314285
2022-08-04,318386.23673142854
2022-08-05,317706.09784571425
2022-08-08,318482.9078457142
2022-08-10,315623.65784571425
2022-08-11,317344.6078457142
2022-08-12,328641.12967428565
2022-08-13,319648.3396742856
2022-08-16,327519.50899928564
2022-08-17,331602.9689992857
2022-08-18,333441.83035285707
2022-08-19,334936.16963857133
2022-08-22,332846.256655
2022-08-23,347254.7863907143
2022-08-24,357500.2919621429
2022-08-25,365128.08316214284
2022-08-26,372624.03316214285
2022-08-29,372620.5831621429
2022-08-30,374176.97128714283
2022-09-01,368679.16390857147
2022-09-02,375846.1706942857
2022-09-05,376717.27419428574
2022-09-06,378337.0741942857
2022-09-07,374755.6141942857
2022-09-08,379697.2550642857
2022-09-09,380855.5750642858
2022-09-12,387237.68034428573
2022-09-13,386259.12677428575
2022-09-14,381322.4067742857
2022-09-15,382553.4515528572
2022-09-16,367826.68223178573
2022-09-19,361392.0022317858
