entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_NORM_ATR,feature_volume_ratio,feature_VOL_20,feature_darvas_high_normalized,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_distance_from_high,feature_darvas_low_normalized,feature_Normalized_JMA,feature_close_normalized
2023-02-02,NSE:PATANJALI-EQ,319.78,1791,572725.98,,0,0.0484842257623544,2.283741355889606,0.0233724104450735,1.523953968353243,-0.0582960678791144,0.0201110145775665,0.7178349232683535,1.250859966226781,-3.2753812886349687,0.2821650767316465
2023-02-06,NSE:ALIVUS-EQ,374.85,1425,534161.25,,0,0.0246384267992911,1.6418316179514951,0.0061992970368632,1.2123516073095904,-0.0294748253691987,-0.1028630020911011,1.0,1.078831532613045,-2.244388562861052,0.0
2023-02-13,NSE:FACT-EQ,259.9,2107,547609.2999999999,,0,0.0740119826306821,0.5919639747489661,0.0371812925458493,1.5005771450557908,-0.0508642395354633,0.3232969168892937,0.3964011180992315,1.13120430934975,-1.9854832218576783,0.6035988819007685
2023-02-22,NSE:TASTYBITE-EQ,9075.6,91,825879.6,,0,0.0335105746648785,0.7018163827832355,0.016507220928827,1.3723610560183348,-0.0366117512855242,-0.126341560397962,0.827403306361067,1.2731940587950108,-1.910310797558044,0.17259669363893307
2023-02-22,NSE:PRUDENT-EQ,834.85,100,83485.0,,0,0.0398403477100249,0.274374674015868,0.0223090397029359,1.3271845241660178,-0.0376999688404347,0.1729208366361034,0.25337565226746994,1.1642211175660298,-1.827624408863881,0.7466243477325301
2023-03-10,NSE:ATGL-EQ,949.6,83,78816.8,,0,0.0500812372126609,1.548025661319168,0.0485353622631378,4.212299915754001,-0.2508779453136273,-0.8197749474010858,0.9163516286820867,1.0230623420387532,-1.053569756634364,0.0836483713179132
2023-03-14,NSE:ADANIENSOL-EQ,902.2,791,713640.2000000001,,0,0.0462005573677043,2.0783388634721227,0.0501453099386151,3.1034692972733313,-0.1266406980823963,-0.929345596408208,0.9251119133574007,0.9691864331633784,-0.987860043515678,0.07488808664259931
2023-03-20,NSE:ATGL-EQ,852.9,568,484447.2,,0,0.0613411386362494,0.5981457209279315,0.04782396447233,4.689881580490093,-0.1478584767059385,-1.028871322899201,0.9461940839724103,1.1390549888615313,-0.8712015240420016,0.05380591602758961
2023-03-21,NSE:INOXWIND-EQ,24.52,15984,391927.68,,0,0.0522605453274295,0.5560608283617469,0.0362725024409987,1.6068515497553018,-0.0039009095653844,-0.0640619843173234,0.7271349166245579,1.4082381729200653,0.7845420016177383,0.27286508337544213
2023-03-27,NSE:TTML-EQ,52.8,9845,519816.0,,0,0.0551948051948051,0.7815842457379061,0.0394524202496879,2.8219696969696972,-0.0580838679005418,-0.4457437077803782,1.0,1.912878787878788,-1.399055769149377,0.0
2023-03-28,NSE:ADANIPORTS-EQ,593.4,634,376215.6,,0,0.0448926284366122,1.28330826975944,0.0352795789262269,1.5436467812605326,-0.0055870936085805,-0.1324096002290773,0.742122883024813,1.4604819683181665,0.7777289660476543,0.25787711697518706
2023-04-11,NSE:DRREDDY-EQ,952.67,781,744035.27,,0,0.014313905729611,1.218951187319424,0.0064790610102604,0.9581492017172788,0.0196062116159916,0.0170242449934681,0.0,0.902096213799112,2.851914011077504,1.0
2023-04-13,NSE:CHOICEIN-EQ,153.53,4915,754599.95,,0,0.043593155362842,0.9877851205493692,0.0222153704611638,0.9151305933693741,0.035388413573007,0.0890990953055448,0.8925788471809479,0.8169738813261253,2.628391220760692,0.10742115281905207
2023-04-17,NSE:BALAMINES-EQ,2377.7,109,259169.3,,0,0.041279387643521,1.227509685442263,0.0310532667378718,0.9622744669218153,0.0397938308644516,-0.1794006705573452,0.7616688110816066,0.8125920006729193,1.4604651434323277,0.23833118891839347
2023-04-20,NSE:MASTEK-EQ,1786.2,256,457267.2,,1,0.0351444407121263,16.69306153777024,0.0336256039919045,0.9796775277124622,0.0103681351362601,-0.1074100987190537,0.8137369033760187,0.8258313738663083,-0.1736212350794443,0.18626309662398138
2023-04-25,NSE:KANSAINER-EQ,250.5,1739,435619.5,,0,0.0179498146564015,0.5375668948243919,0.0068368614202546,1.1249500998003992,-0.0114395501459731,-0.0939121567671817,0.9031219512195121,1.0057085828343313,-1.3131319151780636,0.09687804878048788
2023-05-03,NSE:SCI-EQ,95.3,7978,760303.4,,0,0.036313895967621,2.7211243795188107,0.0585766476655239,1.4690451206715636,-0.0399911863837642,-0.1255209597777491,0.786140089418778,0.8310598111227703,-1.1034930828733538,0.21385991058122195
2023-05-09,NSE:OPTIEMUS-EQ,177.5,1563,277432.5,,0,0.0588732394366197,1.8237716503548864,0.036146912281755,1.7464788732394365,-0.0532591285795097,-0.238344130434677,0.931026137463698,1.2664788732394368,-1.387233791595643,0.06897386253630203
2023-05-11,NSE:LICI-EQ,561.0,1321,741081.0,,0,0.0140565317035905,0.640802686728815,0.0063587071046873,1.3444741532976827,0.0023632670506645,-0.1274094973196028,0.9153846153846155,1.1677361853832442,-0.0327532361496223,0.08461538461538455
2023-05-19,NSE:INDIGOPNTS-EQ,1403.65,535,750952.75,,0,0.0329014660756904,0.9882652060298353,0.0191221512409078,1.202578990489082,0.0533247764377327,-0.0877409579149344,0.41197923972506645,0.9354183735261639,2.0912861426927765,0.5880207602749336
2023-05-29,NSE:NAVINFLUOR-EQ,4640.8,231,1072024.8,,0,0.0248979547861205,0.4502989701648089,0.0067177017126964,0.9468195138769178,-0.002398628110837,0.0524242614368798,0.14955006427653172,0.8690312015169798,0.1451660437656265,0.8504499357234683
2023-05-29,NSE:LAURUSLABS-EQ,334.65,319,106753.34999999999,,0,0.0333290644810142,0.32997569116683,0.0229013626520839,1.8093530554310475,0.0177856324128491,-0.1956455350617066,0.8509296148738381,1.6282683400567757,1.9364909617979176,0.14907038512616191
2023-06-09,NSE:MEDANTA-EQ,607.0,1595,968165.0,,0,0.0325429512826547,1.0413125789811564,0.0162702260625292,0.886326194398682,0.0300096274775562,0.1049776384032519,0.9776957907093745,0.7649093904448105,1.5434955275370363,0.022304209290625526
2023-06-12,NSE:SBIN-EQ,578.65,747,432251.55,,0,0.0124921306983002,0.455678703162882,0.0096649981123937,0.9814222759872117,0.0041424349467589,0.0304124670917171,0.2455450733752622,0.8667588352199085,1.0131718891055193,0.7544549266247378
2023-06-15,NSE:SYRMA-EQ,450.6,1374,619124.4,,0,0.038638957580369,1.6378002137269878,0.029224956442826,0.6391478029294274,0.0592630886685671,0.0901443058094806,0.5776761012981485,0.5561473590767865,1.782682522791578,0.4223238987018515
2023-06-16,NSE:MEDANTA-EQ,648.6,795,515637.0,,0,0.0360061230782784,5.399795232150347,0.0165607423382141,0.8294788775824853,0.0384095951588377,0.1124037205932096,0.9728845119616948,0.7158495220474869,1.7054445757677466,0.027115488038305186
2023-06-28,NSE:MEDANTA-EQ,656.0,1057,693392.0,,0,0.0357415069686411,0.2417499932393468,0.0183669243710572,0.8201219512195121,0.0320289455401148,0.1300506530481993,0.9720286594921557,0.7077743902439024,1.620527128621623,0.02797134050784435
2023-06-30,NSE:ABSLAMC-EQ,372.35,1231,458362.85000000003,,0,0.0227320685223196,11.575679595774051,0.0097603404389716,0.9844232576876595,0.0062564237255953,-0.0934770202873395,0.6604788808178638,0.9202363367799112,1.133932894564999,0.33952111918213623
2023-07-05,NSE:PPLPHARMA-EQ,90.43,7236,654351.4800000001,,0,0.0306551239316914,0.4451584504191385,0.0151440320253155,0.8558000663496627,0.0201745053494304,-0.2465726309183233,0.9915048654228591,0.7510781820192414,1.1320118873626464,0.008495134577140863
2023-07-07,NSE:VENUSPIPES-EQ,1160.55,567,658031.85,,0,0.0132603383863562,1.0181750508634848,0.0054525790104539,0.657102236008789,0.0220610315345455,0.2024069855456647,0.0,0.6135022187755805,1.2335809110473674,1.0
2023-07-18,NSE:INOXGREEN-EQ,57.15,14686,839304.9,,0,0.0414948131483564,0.6381797675153461,0.0201342333285132,0.9571303587051619,0.0176208856251009,0.0395108271269772,0.9796526054590571,0.747156605424322,1.0940989843675486,0.020347394540942924
2023-07-25,NSE:FORCEMOT-EQ,2581.45,351,906088.95,,0,0.0396247402484207,0.2929205390744145,0.0355543799232607,0.6139960099943831,0.0282267840483487,0.2233140701554143,0.09610099622123003,0.5369269209165392,1.1132349617035735,0.90389900377877
2023-07-28,NSE:INOXGREEN-EQ,70.1,5697,399359.69999999995,,0,0.0470756062767475,0.8897795065403765,0.0278747208552198,0.7803138373751785,0.0529192413195074,0.0614902922589364,0.9653708298869589,0.6091298145506421,2.5539580188515494,0.03462917011304107
2023-08-02,NSE:EMIL-EQ,115.55,10125,1169943.75,,0,0.0536873338690733,1.6555498052532367,0.033092542600596,0.7053223712678495,0.0644233679756198,0.0744453787273643,0.963645193741978,0.6070964950237993,2.0284071929057914,0.036354806258021996
2023-08-02,NSE:FACT-EQ,478.8,242,115869.6,,0,0.0396974579305406,0.6627961367352693,0.0229772099728795,0.7615914786967418,0.0217332057763074,0.2538014120895434,0.042420382165605064,0.6299081035923142,0.9828502629581836,0.9575796178343949
2023-08-10,NSE:SBCL-EQ,547.15,200,109430.0,,0,0.066761530528322,1.1974321976773792,0.0268388758736394,1.3707392853879192,-0.056688330553745,0.2107884581862092,0.38675570395102965,0.9868409028602761,-1.5086940696083606,0.6132442960489703
2023-08-21,NSE:SUNFLAG-EQ,199.65,5804,1158768.6,,0,0.0603556223390934,0.486694390815949,0.038777935248301,0.8830453293263211,-0.0234774857057551,0.2279025828013899,0.2664423371061486,0.6949661908339594,0.1749821648572862,0.7335576628938514
2023-08-30,NSE:SHRIPISTON-EQ,1074.9,205,220354.50000000003,,0,0.0696941908217375,0.8777008952549131,0.0283924390538945,1.4567866778304959,-0.0466014135647122,0.2935096032304322,0.3814800498217583,0.9931156386640617,-0.7244498599358195,0.6185199501782417
2023-09-07,NSE:AUROPHARMA-EQ,861.7,659,567860.3,,0,0.0211997877948905,1.0743849518657014,0.0117178399309983,0.5599396541719855,0.0073630753652927,0.163752696984854,0.03694347963372269,0.5161309040269235,0.6326070602872775,0.9630565203662773
2023-09-11,NSE:VENUSPIPES-EQ,1566.8,537,841371.6,,0,0.0142191546008242,0.6145705755256883,0.0069758617853342,0.4867245340822058,0.0363190026281323,0.222335146210215,0.0,0.45442941026295636,1.4953393688785783,1.0
2023-09-12,NSE:GUJGASLTD-EQ,450.75,2176,980832.0,,0,0.0178670469851834,1.0929479692267785,0.008724319888462,1.0948419301164725,-0.0016213932656243,-0.0342043786893374,0.9706586826347307,0.973044925124792,-0.7563640687717079,0.029341317365269345
2023-09-21,NSE:ATGL-EQ,639.6,725,463710.0,,0,0.0219277673545966,0.8522680838152543,0.0119201240702018,1.0725453408380237,-0.0047254951171815,-0.8773582484206275,0.9971568880847764,0.9709193245778611,-1.6452418942285665,0.002843111915223579
2023-09-22,NSE:VESUVIUS-EQ,309.26,2925,904585.5,,0,0.0276859046017682,0.6543649339116017,0.0193328418791655,1.2086917157084653,-0.0239755339995896,0.2375865699434951,0.2568527006380876,1.0516070620190132,-1.9287291589681597,0.7431472993619124
2023-09-29,NSE:JBMA-EQ,685.93,1914,1312870.02,,0,0.0373101378524672,0.1932999048578904,0.013290913029588,1.1718834283381687,-0.0209055693246056,0.2735166075222219,0.154214237743452,1.003717580511131,-1.0532469307675163,0.845785762256548
2023-09-29,NSE:MIDHANI-EQ,408.7,318,129966.59999999999,,0,0.0396291376839455,0.4426880533559013,0.0263386755519563,0.6579398091509664,0.0059104926486273,0.2206307588272785,0.09355709876543206,0.5342549547345241,0.6983217054065456,0.9064429012345679
2023-10-04,NSE:BECTORFOOD-EQ,1029.35,1095,1127138.25,,0,0.0371142676723868,0.3838742828583236,0.0252532899579162,0.37955991645213,0.0080390113410421,0.215264163681222,0.11244003417230752,0.33020838393160734,-0.3491404823650276,0.8875599658276925
2023-10-09,NSE:EDELWEISS-EQ,66.4,8210,545144.0,,0,0.0663188468158347,0.4737318881177426,0.048378015454383,1.0512048192771084,0.0663056987426776,-0.0102952444307818,0.2308690012970167,0.5271084337349398,2.784835567499809,0.7691309987029833
2023-10-16,NSE:KTKBANK-EQ,240.55,3471,834949.05,,0,0.0237847789292395,0.3400679813616259,0.0237259252541501,0.6568281022656413,0.007009512731175,0.2075947238241953,0.07268464243845241,0.5175639160257742,1.0011672903409676,0.9273153575615476
