entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_RSI_14,feature_VOL_20,feature_NORM_ATR,feature_volume_ratio,feature_darvas_high,feature_darvas_low,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_NORM_BB
21-09-2020,NSE:THOMASCOOK-EQ,30.2,3404,102800.8,,0,42.33576642,0.030485989,0.045175024,0.491198598,38.9,29.65,-0.019029963,-0.722614243,0.263816037
22-09-2020,NSE:THOMASCOOK-EQ,29.15,3307,96399.05,,0,37.66233766,0.030883018,0.047414849,0.725983573,38.9,29.65,-0.026762771,-0.743986653,0.176209923
22-09-2020,NSE:TATACHEM-EQ,279.45,166,46388.7,,0,27.8200692,0.018734103,0.038212816,0.617219688,345.9,281.7,-0.021975701,-0.303993645,0.109539297
24-09-2020,NSE:THOMASCOOK-EQ,29.45,3400,100130,,0,38.70967742,0.031159766,0.049721077,0.526057916,38.9,29.65,-0.03261316,-0.726661459,0.232388852
24-09-2020,NSE:SHOPERSTOP-EQ,156.17,310,48412.7,,0,35.27324344,0.023188376,0.038259589,0.524510637,188.4,157.16,-0.015965198,-0.374646012,0.141994458
28-09-2020,NSE:PCJEWELLER-EQ,1.45,70157,101727.65,,0,38.7755102,0.025903667,0.059605911,0.821759311,1.82,1.55,-0.037838922,-0.377210564,0.294222618
30-09-2020,NSE:SHOPERSTOP-EQ,163.83,256,41940.48,,0,51.40635719,0.024553676,0.038053383,0.382592078,188.4,157.16,-0.00424269,-0.343207009,0.541783484
06-10-2020,NSE:ADANIPOWER-EQ,36.85,1205,44404.25,,0,45.45454545,0.007669435,0.016669897,0.280882759,41.6,36.7,-0.004727559,-0.104068635,0.356059382
12-10-2020,NSE:ARVINDFASN-EQ,127.65,687,87695.55,,0,51.92604006,0.025204307,0.049157854,0.621016541,169.6,130.25,-0.012434878,-0.648529513,0.385660762
16-10-2020,NSE:CANBK-EQ,17.57,2710,47614.7,,0,52.0661157,0.027763183,0.036954224,0.415504227,23.89,16.5,-0.024840764,-0.304842307,0.33699335
26-10-2020,NSE:UNIONBANK-EQ,24.3,3487,84734.1,,0,48.31460674,0.016293588,0.026748971,0.533770035,32.45,24.55,-0.020413733,-0.329493969,0.520383033
05-11-2020,NSE:CANBK-EQ,18.3,2892,52923.6,,0,63.08243728,0.014656069,0.025644028,1.768149938,23.89,16.5,-0.005196847,-0.277313365,0.936389375
11-11-2020,NSE:ARVINDFASN-EQ,124.65,759,94609.35,,0,40.19607843,0.013158972,0.030972437,1.229626606,169.6,130.25,-0.008019328,-0.567771424,0.389533236
12-11-2020,NSE:UNIONBANK-EQ,24.75,2993,74076.75,,0,56.25,0.013839798,0.024963925,1.017739001,32.45,24.55,0.003384139,-0.305632731,0.796312924
19-11-2020,NSE:UCOBANK-EQ,11.8,7823,92311.4,,0,60,0.011064465,0.0281477,1.61463611,13.45,11.55,-0.004301617,-0.077507947,0.448295453
26-11-2020,NSE:UCOBANK-EQ,12.2,8987,109641.4,,0,68,0.00849421,0.025175644,0.753749734,13.45,11.55,0.005839366,-0.07175276,0.93867826
10-12-2020,NSE:NHPC-EQ,21.9,5301,116091.9,,0,70.76923077,0.012286818,0.026092629,0.749174569,22.15,20.1,0.020810402,-0.006857954,0.74679591
15-12-2020,NSE:GPIL-EQ,23.92,3666,87690.72,,0,86.30363036,0.01791555,0.043687291,0.522783859,17.75,13.45,0.059328371,0.232867721,0.788066337
17-12-2020,NSE:NHPC-EQ,23.05,3712,85561.6,,0,73.75,0.012727036,0.031143477,1.278113311,22.15,20.1,0.024802578,0.003513831,0.90287262
21-12-2020,NSE:TIPSMUSIC-EQ,27.95,4018,112303.1,,0,65.04854369,0.019327971,0.041477128,10.37863689,35.41,25.04,0.004055076,0.225256657,1.130964931
21-12-2020,NSE:DABUR-EQ,503.6,107,53885.2,,0,46.01328904,0.008099626,0.018545047,1.222987927,535.95,494.05,0.000168541,0.0355914,0.347991164
22-12-2020,NSE:NHPC-EQ,22.2,4525,100455,,0,56.73076923,0.018573231,0.036036036,0.866192301,22.15,20.1,0.015482062,0.006751556,0.589270608
06-01-2021,NSE:UCOBANK-EQ,13,8769,113997,,0,47.91666667,0.016984156,0.034065934,1.028349145,14.25,11.8,0.007072782,-0.028060839,0.532797352
06-01-2021,NSE:CESC-EQ,62.26,885,55100.1,,0,53.58527132,0.016775064,0.028417695,1.832788233,70,56.9,0.009630068,-0.017846271,0.678077439
15-01-2021,NSE:RAJESHEXPO-EQ,481.3,281,135245.3,,0,39.13793103,0.010856468,0.024858271,1.732054878,510.5,460,0.003003557,-0.051440589,0.326932674
